set,block,d,w,scale,drop,decay
,,,,,,
c100,B_ID(2),2,21,0.7,0.1,0.0002
c100,B_ID(1),2,21,0.3,0.1,0.0001
c100,B_1x1(2),2,21,0.7,0.1,0.0001
c100,B_1x1(1),2,20,1,0.1,0.0003
c100,B_3x3(1),2,15,1,0.1,0.0002
,,,,,,
c100,B_ID(2),2,42,0.7,0.1,0.0003
c100,B_ID(1),2,42,0.3,0.1,0.0003
c100,B_1x1(2),2,42,0.7,0.1,0.0002
c100,B_1x1(1),2,40,1,0.2,0.0002
c100,B_3x3(1),2,30,1,0.2,0.0002
,,,,,,
c100,B_ID(2),3,21,0.7,0.1,0.0003
c100,B_ID(1),3,21,0.3,0.1,0.0003
c100,B_1x1(2),3,21,0.7,0.1,0.0001
c100,B_1x1(1),3,20,1,0.1,0.0003
c100,B_3x3(1),3,15,1,0.1,0.0002
,,,,,,
c100,B_ID(2),4,21,0.7,0.1,0.0001
c100,B_ID(1),4,21,0.3,0.1,0.0003
c100,B_1x1(2),4,21,0.7,0.1,0.0001
c100,B_1x1(1),4,20,1,0.1,0.0003
c100,B_3x3(1),4,15,1,0.1,0.0003
,,,,,,
c10,B_ID(2),2,21,0.7,0.1,0.0001
c10,B_ID(1),2,21,0.3,0.1,0.0001
c10,B_1x1(2),2,21,0.7,0.1,0.0001
c10,B_1x1(1),2,20,1,0.1,0.0002
c10,B_3x3(1),2,15,1,0.1,0.0001
,,,,,,
c10,B_ID(2),2,42,0.7,0.1,0.0001
c10,B_ID(1),2,42,0.3,0.1,0.0001
c10,B_1x1(2),2,42,0.7,0.1,0.0002
c10,B_1x1(1),2,40,1,0.1,0.0001
c10,B_3x3(1),2,30,1,0.1,0.0001
,,,,,,
c10,B_ID(2),3,21,0.7,0.1,0.0002
c10,B_ID(1),3,21,0.3,0.1,0.0002
c10,B_1x1(2),3,21,0.7,0.1,0.0002
c10,B_1x1(1),3,20,1,0.1,0.0001
c10,B_3x3(1),3,15,1,0.1,0.0001
,,,,,,
c10,B_ID(2),4,21,0.7,0.1,0.0002
c10,B_ID(1),4,21,0.3,0.1,0.0001
c10,B_1x1(2),4,21,0.7,0.1,0.0001
c10,B_1x1(1),4,20,1,0.1,0.0001
c10,B_3x3(1),4,15,1,0.1,0.0001
,,,,,,
svhn,B_ID(2),1,21,1,0.1,0.0001
svhn,B_ID(1),1,21,0.7,0.1,0.0001
svhn,B_1x1(2),1,21,1.2,0.1,0.0001
svhn,B_1x1(1),1,20,1.2,0.1,0.0001
svhn,B_3x3(1),1,15,1,0.1,0.0001
,,,,,,
svhn,B_ID(2),2,21,1,0.1,0.0001
svhn,B_ID(1),2,21,0.7,0.1,0.0001
svhn,B_1x1(2),2,21,1.2,0.1,0.0002
svhn,B_1x1(1),2,20,1.2,0.1,0.0001
svhn,B_3x3(1),2,15,1,0.1,0.0001
,,,,,,
svhn,B_ID(2),3,21,1,0.1,0.0001
svhn,B_ID(1),3,21,0.7,0.1,0.0002
svhn,B_1x1(2),3,21,1.2,0.1,0.0001
svhn,B_1x1(1),3,20,1.2,0.1,0.0002
svhn,B_3x3(1),3,15,1,0.1,0.0001
,,,,,,
fashion,B_ID(2),1,21,1,0.1,0.0001
fashion,B_ID(1),1,21,0.7,0.1,0.0001
fashion,B_1x1(2),1,21,1.2,0.1,0.0002
fashion,B_1x1(1),1,20,1.2,0.1,0.0001
fashion,B_3x3(1),1,15,1,0.1,0.0001
,,,,,,
fashion,B_ID(2),2,21,1,0.1,0.0001
fashion,B_ID(1),2,21,0.7,0.1,0.0001
fashion,B_1x1(2),2,21,1.2,0.1,0.0001
fashion,B_1x1(1),2,20,1.2,0.1,0.0001
fashion,B_3x3(1),2,15,1,0.1,0.0001
